"","grouped_age","country","reported_cases","percent_hospitalized","percent_death","percent_recovered","avg_time_to_hospitalisation_if_hospitalised","avg_time_to_recovery_if_recovered","avg_time_to_death_if_death"
"1",0,"Japan",6,0.5,0,0,7,NaN,NaN
"2",0,"Singapore",3,0.666666666666667,0,0.666666666666667,NaN,NaN,NaN
"3",10,"HK SAR",1,0,0,0,NaN,NaN,NaN
"4",10,"Japan",3,0.666666666666667,0,0.333333333333333,1,NaN,NaN
"5",10,"Singapore",1,1,0,0,NaN,NaN,NaN
"6",20,"HK SAR",10,0.4,0,0.3,6.75,20,NaN
"7",20,"Japan",18,0.333333333333333,0,0,6.83333333333333,NaN,NaN
"8",20,"Singapore",8,1,0,0.125,9.42857142857143,24,NaN
"9",20,"South Korea",6,0.166666666666667,0,0.333333333333333,4,15.5,NaN
"10",30,"HK SAR",10,0.7,0.1,0.4,4.71428571428571,25.25,6
"11",30,"Japan",19,0.421052631578947,0,0.0526315789473684,7,12,NaN
"12",30,"Singapore",23,0.869565217391304,0,0.304347826086957,3.72222222222222,16.1428571428571,NaN
"13",30,"South Korea",6,0.333333333333333,0,0.5,NaN,19,NaN
"14",40,"HK SAR",8,0.75,0,0.25,7.66666666666667,24.5,NaN
"15",40,"Japan",32,0.46875,0,0.0625,6.6,12,NaN
"16",40,"Singapore",16,1,0,0.3125,4.85714285714286,16.8,NaN
"17",40,"South Korea",6,0.333333333333333,0,0.166666666666667,9,NaN,NaN
"18",50,"HK SAR",21,0.571428571428571,0,0.238095238095238,6.33333333333333,28.6,NaN
"19",50,"Japan",52,0.480769230769231,0,0.0961538461538462,6.04166666666667,15.6,NaN
"20",50,"Singapore",22,0.954545454545455,0,0.272727272727273,4.78947368421053,20.8333333333333,NaN
"21",50,"South Korea",8,0.5,0,0.375,6.66666666666667,22,NaN
"22",60,"HK SAR",23,0.782608695652174,0,0.304347826086957,6.33333333333333,23.8333333333333,NaN
"23",60,"Japan",57,0.596491228070175,0,0.0175438596491228,6.3125,25,NaN
"24",60,"Singapore",4,1,0,0.25,3.25,5,NaN
"25",60,"South Korea",1,0,0,1,NaN,21,NaN
"26",70,"HK SAR",12,0.583333333333333,0.0833333333333333,0.0833333333333333,6.85714285714286,28,17
"27",70,"Japan",35,0.542857142857143,0.0571428571428571,0.0285714285714286,4.68421052631579,24,16.5
"28",70,"Singapore",4,0.75,0,0,7,NaN,NaN
"29",70,"South Korea",1,0,0,0,NaN,NaN,NaN
"30",80,"HK SAR",6,0.666666666666667,0,0.166666666666667,6.5,31,NaN
"31",80,"Japan",17,0.647058823529412,0.176470588235294,0,3.55555555555556,NaN,21
"32",80,"South Korea",1,0,0,0,NaN,NaN,NaN
"33",90,"HK SAR",2,0,0,0,NaN,NaN,NaN
"34",90,"Japan",1,1,0,0,7,NaN,NaN
"35",NA,NA,4,0,0,0,NaN,NaN,NaN
