date,patients,non_serious,ventilator_icu,pending_diagnosis,waiting,pending_symptoms,recovered,deceased
2020-04-17,8007,4226,207,560,219,2795,1012,148
2020-04-16,7511,3971,193,550,177,2620,935,136
2020-04-15,7080,3686,158,583,160,2483,901,119
2020-04-14,6683,3471,152,617,153,2290,853,109
2020-04-13,6354,3276,135,623,148,2172,799,102
2020-04-12,5866,3145,129,576,77,1939,784,98
2020-04-11,5149,2764,122,558,64,1641,672,94
2020-04-10,4545,2498,117,442,50,1438,714,88
2020-04-09,3998,2227,109,356,43,1263,685,85
2020-04-08,3544,1937,99,378,39,1091,632,81
2020-04-07,3204,1703,80,414,35,972,622,80
2020-04-06,2989,1619,79,386,20,885,592,73
2020-04-05,2617,1453,70,373,13,708,584,70
2020-04-04,2291,1247,69,389,13,573,575,69
2020-04-03,2040,1018,64,456,10,492,514,63
2020-04-02,1816,941,62,418,9,386,505,60
2020-04-01,1649,852,60,417,9,311,472,57
2020-03-31,1473,765,59,410,13,226,424,56
2020-03-30,1388,726,59,380,13,210,424,54
2020-03-29,1217,689,59,323,13,133,424,52
2020-03-28,978,681,60,224,13,68,404,49
2020-03-27,837,572,56,203,6,27,331,46
2020-03-26,774,513,56,202,6,8,320,45
2020-03-25,743,478,57,203,5,8,272,43
2020-03-24,693,448,55,185,5,5,263,42
2020-03-23,674,428,54,187,5,3,247,41
2020-03-22,652,404,57,183,8,3,235,36
2020-03-21,650,402,55,185,8,6,198,35
2020-03-20,614,373,50,182,9,2,193,33
2020-03-19,590,356,49,175,10,2,184,31
2020-03-18,579,337,46,187,9,3,161,29
2020-03-17,556,317,46,182,11,4,144,28
2020-03-16,550,300,41,194,15,18,139,24
2020-03-15,536,298,36,190,12,7,134,22
2020-03-14,497,292,35,161,9,1,122,21
2020-03-13,468,268,32,158,10,0,115,19
2020-03-12,434,229,29,166,10,0,104,15
2020-03-11,392,194,26,161,11,0,99,12
2020-03-10,362,198,31,120,13,0,86,9
2020-03-09,345,181,33,121,10,0,86,7
2020-03-08,336,195,27,102,12,0,66,6
2020-03-07,298,178,28,82,10,0,62,6
2020-03-06,248,141,30,68,9,0,59,6
2020-03-05,242,106,27,102,7,0,39,6
2020-03-04,213,104,24,78,7,0,38,6
2020-03-03,198,102,24,65,7,0,37,6
2020-03-02,192,99,23,65,5,0,34,6
2020-03-01,178,94,23,56,5,0,34,5
2020-02-29,166,86,22,58,3,0,34,5
2020-02-28,154,77,20,57,0,0,33,4
2020-02-27,132,64,16,52,0,0,32,3
2020-02-26,118,67,15,36,0,0,28,1
2020-02-25,115,62,14,39,0,1,23,1
2020-02-24,101,56,13,32,0,0,23,1
2020-02-23,91,48,11,32,0,0,21,1
2020-02-22,69,38,10,21,0,0,21,1
2020-02-21,58,35,9,14,0,0,20,1
2020-02-20,49,30,7,12,0,0,20,1
2020-02-19,40,30,6,4,0,0,18,1
2020-02-18,36,30,3,3,0,0,16,1
2020-02-17,30,23,3,4,0,0,16,1
2020-02-14,17,17,0,0,0,0,12,1
2020-02-13,15,15,0,0,0,0,11,0
2020-02-12,15,14,0,1,0,0,10,0
2020-02-10,14,11,0,3,0,0,9,0
